"aka","year","site","ld","fl","hdCt","source","demo","Ax","Ly","nn1","nn2","nn3","nn4","nn5","nn6","nn7","unit"
"ac95",2007,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ac95",2016,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ad46",2009,"spp",1,1,1,"autoAssign","flw",683724.651268117,191899.061820375,1.94543933731129,2.74926057879297,2.81585633753158,2.95853115594425,3.21727393812141,3.98689200201079,4.37558015509543,"east"
"ad46",2010,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"ad46",2016,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"ad82",1998,"spp",1,1,3,"ice.csv; unambiguous hdCt;tag=3139","flw",683886.636922453,191952.359093387,1.21064976253627,5.36600199221512,6.1337785563498,6.45276183345718,6.46032881951326,6.58476549255477,6.84893819953511,"east"
"ad82",2000,"spp",1,0,NA,"ice.csv; spp2000 demo records","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"ad82",2001,"spp",1,1,1,"ice.csv; no demo from spp2001, demo.out records based on surv","flw",683886.636922453,191952.359093387,5.15278516248863,6.46032881951326,7.7436707123913,174.863987477903,177.116487780666,190.099980940016,209.319662219252,"east"
"ad82",2002,"spp",1,1,0,"autoAssign","flw",683886.636922453,191952.359093387,7.78422534617253,18.2207211329685,34.1727980958653,175.60391114431,212.871015009364,239.543221964014,335.374350162288,"east"
"ad82",2004,"spp",1,1,2,"autoAssign","flw",683886.636922453,191952.359093387,5.15278516248863,8.28993272800073,11.8009625435316,15.8886520810719,34.1727980958653,35.4580202463712,44.8811691784054,"east"
"ad82",2005,"spp",1,1,3,"ice.csv; naughtyList","flw",683886.636922453,191952.359093387,5.15278516248863,8.98051652142218,13.2554883436165,15.9431264719492,23.2089979862913,34.8758903973328,35.4580202463712,"east"
"ad82",2006,"spp",1,1,2,"ice.csv; spp2006 records","flw",683886.636922453,191952.359093387,5.36600199221512,6.45276183345718,6.46032881951326,12.091265797678,23.2089979862913,35.4580202463712,135.86149948443,"east"
"ad82",2007,"spp",1,1,5,"autoAssign","flw",683886.636922453,191952.359093387,5.15278516248863,6.46032881951326,6.96632588089912,7.78422534617253,10.4161101308994,23.2089979862913,26.1101179822877,"east"
"ad82",2008,"spp",1,1,3,"autoAssign","flw",683886.636922453,191952.359093387,2.93346816529523,5.15278516248863,6.45276183345718,7.78422534617253,8.98051652142218,10.4161101308994,12.4608747662728,"east"
"ad82",2009,"spp",1,1,4,"autoAssign","flw",683886.636922453,191952.359093387,2.93346816529523,3.77218101278991,5.15278516248863,5.36600199221512,6.45276183345718,6.84893819953511,6.91475275194344,"east"
"ad82",2010,"spp",1,1,8,"autoAssign","flw",683886.636922453,191952.359093387,5.15278516248863,5.36600199221512,6.45276183345718,6.91475275194344,7.78422534617253,8.98051652142218,11.8009625435316,"east"
"ad82",2011,"spp",1,1,3,"autoAssign","flw",683886.636922453,191952.359093387,5.15278516248863,6.45276183345718,121.192509950244,138.398873682233,171.911315001199,172.969245285257,175.488292371851,"east"
"ad82",2012,"spp",1,1,0,"autoAssign","flw",683886.636922453,191952.359093387,5.15278516248863,6.45276183345718,79.1704081365069,79.2815152058793,120.122041939028,121.69209887679,123.755321687216,"east"
"ad82",2014,"spp",1,1,8,"autoAssign","flw",683886.636922453,191952.359093387,3.77218101278991,5.36600199221512,6.45276183345718,7.92220995242213,8.98051652142218,11.8009625435316,12.091265797678,"east"
