row,pos,cg_pla_id,exp_nm,site_of_origin_pedigree,measure_yr,measure_dt,pla_status_desc,basal_rosette_ct,flowering_rosette_ct,basal_lf_ct,longest_basal_lf,longest_cauline_lf,hdct,min_hd_height,max_hd_height,wrinkled_lvs_pres,insects,ant1,ant2to10,ant_gt10,aphid1,aphid2to10,aphid11to80,aphid_gt80,lf_miner,lf_rolled,ant_nest,lf_hopper,pupa,egg_sac,beetle,grasshopper,spittle,wht_fuzzy,wht_scary,other_note,insects_note,yr_planted,ld,fl,hd_ct,ach_ct
33,952,108,1996,Nessman,2004,2004-08-08,flowering,NA,NA,10,28,NA,3,32,49,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3
33,951,109,1996,SPP,2004,2004-08-08,flowering,NA,NA,5,29,NA,1,50,50,0,2-10 aphids;fuzzy white creature,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 fuzzy,1996,1,1,1,1
33,947,113,1996,Eriley,2004,2004-08-08,flowering,NA,NA,22,38,NA,3,61,70,0,11-80 aphids;>10 ants,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3
33,946,114,1996,Eriley,2004,2004-08-08,fl based on dud & vd (includeForHdCt=0),NA,NA,1,0,NA,0,8,8,1,2-10 aphids;ant nest;flea beetle,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,1996,1,1,0,0
33,945,115,1996,AA,2004,2004-08-08,fl based on dud & vd (includeForHdCt=0),NA,NA,21,27,NA,0,3,3,1,>80 aphids;2-10 ants;ant nest;flea beetle,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,NA,1996,1,1,0,0
33,944,116,1996,Eriley,2004,2004-08-08,flowering,NA,NA,13,28,NA,4,2,67,0,1 ant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3
33,943,117,1996,SPP,2004,2004-08-08,flowering,NA,NA,12,27,NA,5,15,65,0,11-80 aphids;flea beetle,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Add 1 flea btl,1996,1,1,5,5
33,941,119,1996,Nessman,2004,2004-08-08,flowering,NA,NA,9,30,NA,3,49,50,0,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3
33,940,120,1996,Eriley,2004,2004-08-08,flowering,NA,NA,0,0,NA,3,24,39,1,>80 aphids;>10 ants;ant nest,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3
33,936,124,1996,Lf,2004,2004-08-08,flowering,NA,NA,4,21,NA,5,46,62,0,>80 aphids;ant nest,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,1996,1,1,5,5
34,959,126,1996,Eriley,2004,2004-08-08,flowering,NA,NA,6,30,NA,1,53,53,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
34,958,127,1996,Eriley,2004,2004-08-08,flowering,NA,NA,9,17,NA,1,61,61,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
34,955,130,1996,SPP,2004,2004-08-08,flowering,NA,NA,10,31,NA,1,52,52,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
34,952,133,1996,Eriley,2004,2004-08-08,flowering,NA,NA,1,0,NA,2,48,50,0,2-10 aphids,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
34,949,136,1996,Eriley,2004,2004-08-08,flowering,NA,NA,0,0,NA,1,54,54,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
34,948,137,1996,Eriley,2004,2004-08-07,flowering,NA,NA,24,35,NA,6,17,77,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,5,5
34,944,141,1996,Lf,2004,2004-08-07,flowering,NA,NA,10,26,NA,1,64,64,0,11-80 aphids;2-10 ants,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
34,943,142,1996,Eriley,2004,2004-08-07,flowering,NA,NA,18,39,NA,1,82,82,0,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
34,942,143,1996,Eriley,2004,2004-08-07,flowering,NA,NA,4,32,NA,2,64,75,0,>80 aphids;>10 ants;other (Note),0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1 tree hopper with horn,1996,1,1,2,2
38,958,151,1996,AA,2004,2004-08-07,flowering,NA,NA,5,53,NA,5,52,65,0,11-80 aphids;2-10 ants,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,5,5
38,957,152,1996,Eriley,2004,2004-08-07,flowering,NA,NA,0,0,NA,2,51,64,0,2-10 aphids,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
38,956,153,1996,Unknown,2004,2004-08-07,flowering,NA,NA,9,30,NA,4,36,53,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,4,4
38,950,159,1996,SPP,2004,2004-08-06,flowering,NA,NA,14,30,NA,1,61,61,0,>80 aphids,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
38,949,160,1996,Lf,2004,2004-08-06,flowering,NA,NA,0,0,NA,2,68,68,0,>80 aphids,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
38,947,162,1996,Lf,2004,2004-08-06,flowering,NA,NA,3,18,NA,4,50,66,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,4,4
38,946,163,1996,SPP,2004,2004-08-06,flowering,NA,NA,0,0,NA,3,46,50,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3
38,944,165,1996,Lf,2004,2004-08-06,flowering,NA,NA,2,0,NA,5,56,60,0,2-10 ants;other (Note),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Brn fuzz 11-80,1996,1,1,5,5
38,942,167,1996,SPP,2004,2004-08-06,flowering,NA,NA,0,0,NA,1,59,59,0,11-80 aphids;2-10 ants,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
38,940,169,1996,SPP,2004,2004-08-06,flowering,NA,NA,0,0,NA,3,47,62,0,11-80 aphids;>10 ants,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3
14,958,174,1996,Stevens,2004,2004-08-08,flowering,NA,NA,4,25,NA,1,48,48,0,>80 aphids,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
14,954,178,1996,NWLF,2004,2004-08-08,flowering,NA,NA,2,27,NA,1,59,59,0,>80 aphids;ant nest,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
14,953,179,1996,SPP,2004,2004-08-08,flowering,NA,NA,0,0,NA,3,36,55,0,>80 aphids;>10 ants;ant nest,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3
15,955,201,1996,SPP,2004,2004-08-07,flowering,NA,NA,3,26,NA,1,33,33,0,>80 aphids;other (Note),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1 light grn nymph on lf,1996,1,1,1,1
15,954,202,1996,Unknown,2004,2004-08-07,flowering,NA,NA,8,30,NA,4,30,59,0,>80 aphids;2-10 ants;other (Note),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1 aphid-like thing,1996,1,1,4,4
15,947,209,1996,NWLF,2004,2004-08-07,flowering,NA,NA,7,26,NA,1,17,47,0,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
15,941,215,1996,Eriley,2004,2004-08-07,flowering,NA,NA,0,0,NA,2,10,58,0,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
16,959,222,1996,Stevens,2004,2004-08-07,flowering,NA,NA,3,25,NA,2,64,71,0,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
16,958,223,1996,NWLF,2004,2004-08-07,flowering,NA,NA,0,0,NA,1,59,59,0,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
16,957,224,1996,Stevens,2004,2004-08-07,flowering,NA,NA,7,22,NA,3,53,57,0,>80 aphids;1 ant,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3
16,956,225,1996,Stevens,2004,2004-08-07,flowering,NA,NA,0,0,NA,5,50,70,0,11-80 aphids;2-10 ants,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,5,5
16,955,226,1996,AA,2004,2004-08-07,flowering,NA,NA,2,0,NA,2,51,55,0,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
16,954,227,1996,Lf,2004,2004-08-07,flowering,NA,NA,4,18,NA,1,46,46,0,2-10 aphids,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
16,952,229,1996,NWLF,2004,2004-08-07,flowering,NA,NA,1,0,NA,1,50,50,0,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
16,944,237,1996,SPP,2004,2004-08-07,flowering,NA,NA,5,23,NA,2,54,57,0,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
18,959,247,1996,Unknown,2004,2004-08-08,flowering,NA,NA,0,0,NA,1,49,49,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
18,957,249,1996,NWLF,2004,2004-08-08,flowering,NA,NA,3,18,NA,3,12,54,0,11-80 aphids;1 ant,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3
18,955,251,1996,Stevens,2004,2004-08-08,flowering,NA,NA,3,18,NA,2,63,67,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
18,954,252,1996,SPP,2004,2004-08-08,flowering,NA,NA,1,6,NA,2,52,72,0,11-80 aphids;2-10 ants,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
18,952,254,1996,SPP,2004,2004-08-08,flowering,NA,NA,4,15,NA,3,36,56,0,11-80 aphids;1 ant;fuzzy white creature,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3
18,950,256,1996,Lf,2004,2004-08-08,flowering,NA,NA,0,0,NA,1,42,42,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
18,943,263,1996,Stevens,2004,2004-08-08,flowering,NA,NA,0,0,NA,1,63,63,0,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
18,941,265,1996,Eriley,2004,2004-08-08,flowering,NA,NA,1,0,NA,1,58,58,0,>80 aphids;1 ant,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
19,958,273,1996,NWLF,2004,2004-08-07,flowering,NA,NA,0,0,NA,1,55,55,0,11-80 aphids;2-10 ants,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
19,957,274,1996,NWLF,2004,2004-08-07,fl based on dud & vd (includeForHdCt=0),NA,NA,23,17,NA,0,8,8,1,>80 aphids;ant nest,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,1996,1,1,0,0
19,956,275,1996,NWLF,2004,2004-08-07,flowering,NA,NA,35,31,NA,6,10,46,1,>80 aphids;2-10 ants;ant nest,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Many dead aphids
2 aphid like things",1996,1,1,6,6
19,955,276,1996,SPP,2004,2004-08-07,flowering,NA,NA,11,29,NA,1,46,46,1,11-80 aphids;ant nest,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
19,954,277,1996,NWLF,2004,2004-08-07,flowering,NA,NA,1,0,NA,3,54,74,0,11-80 aphids;2-10 ants;other (Note),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1 aphid-like thing,1996,1,1,3,3
19,953,278,1996,NWLF,2004,2004-08-07,flowering,NA,NA,6,23,NA,3,20,39,1,11-80 aphids;ant nest;other (Note),0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,White scary,1996,1,1,3,3
19,952,279,1996,NWLF,2004,2004-08-07,flowering,NA,NA,0,0,NA,4,33,69,0,1 ant;ant nest,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,1996,1,1,4,4
